district,flood_risk,drought_risk
greater kolkata area,0.0022,0.5
gulbarga / kalaburagi,0.5,0.6607
gumla,0.0252,0.5
guna,0.0508,0.7437
guntur,0.2692,0.6226
gurdaspur,0.2665,0.2389
gurgaon,0.5,0.3153
gurugram,0.0593,0.5
gwalior,0.0488,0.503
gyalshing,0.0411,0.5
hailakandi,0.551,0.5
hamirpur,0.3238,0.6759
hanumangarh,0.1044,0.5
hapur,0.0886,0.5
harda,0.0563,0.5
hardoi,0.1916,0.4898
hardwar,0.0397,0.5
haridwar,0.0195,0.5
hassan,0.0941,0.6782
hathras,0.0844,0.5
haveri,0.0805,0.5
hazaribagh,0.0341,0.6969
heavy rains hazaribagh,0.0022,0.5
hilly areas,0.0022,0.5
himachal pradesh,0.0087,0.5
hingoli,0.0693,0.5
hisar,0.1352,0.5
hissar,0.5,0.171
hojai,0.2758,0.5
hooghly,0.266,0.4629
hoshangabad,0.0291,0.577
hoshiarpur,0.1102,0.2512
howrah,0.4791,0.5666
hyderabad,0.0844,0.6214
hyderabad   telangana,0.0022,0.5
idukki,0.2512,0.5
imphal east,0.2756,0.5
imphal west,0.0963,0.5
indore,0.0813,0.696
itanagar,0.0433,0.5
jabalpur,0.08,0.7368
jagatsinghapur,0.0493,0.5
jagdalpur,0.0065,0.5
jagitial,0.0319,0.5
jaipur,0.1081,0.6557
jaisalmer,0.0514,0.7788
jajapur,0.2985,0.5
jalandhar,0.2144,0.1097
jalaun,0.1731,0.6067
jalgaon,0.1233,0.7038
jalna,0.0987,0.5
jalor,0.0285,0.5
jalore,0.0433,0.8232
jaloree,0.0065,0.5
jalpaiguri,0.2157,0.6156
jammu,0.1375,0.5
jamnagar,0.0693,0.6726
jamtara,0.0205,0.5
jamui,0.0758,0.5
jangoan,0.0068,0.5
janjgir  champa,0.0408,0.5
janjgirchampa,0.0108,0.5
jashpur,0.0142,0.5
jaunpur,0.1915,0.5107
jawad,0.0022,0.5
jayashankar,0.1105,0.5
jayashankar bhupalapally,0.0152,0.5
jehanabad,0.289,0.5
jhabua,0.0384,0.7263
jhajjar,0.0562,0.5
jhalawar,0.0848,0.5404
jhansi,0.0927,0.6758
jhargram,0.0376,0.5
jharkhand,0.0022,0.5
jharsuguda,0.0489,0.5
jhelum,0.0022,0.5
jhunjhunu,0.026,0.6881
jhunjhunun,0.0093,0.5
jind,0.0781,0.279
jiribam,0.1216,0.5
jodhpur,0.1005,0.7845
jogulamba gadwal,0.0384,0.5
jorhat,0.4352,0.5
junagadh,0.1378,0.5118
kabeerdham,0.0163,0.5
kachchh,0.1325,0.5
kadapa ysr,0.5,0.6205
kaimur bhabua,0.1288,0.5
kaithal,0.0963,0.5
kakching,0.0832,0.5
kalaburagi,0.1266,0.5
kalahandi,0.0842,0.7011
kalimpong,0.0289,0.5
kallakurichi,0.0578,0.5
kamareddy,0.0266,0.5
kamjong,0.0189,0.5
kamle,0.0778,0.5
kamrup,0.573,0.7068
kamrup metro,0.2165,0.5
kamrup metropolitan,0.279,0.5
kancheepuram,0.0697,0.5
kandhamal,0.0807,0.5
kangpokpi,0.02,0.5
kangra,0.2203,0.6858
kannauj,0.1478,0.5
kanniyakumari,0.0087,0.5
