district,flood_risk_area
ahmadnagar,0.00026537228493631716
sangareddy,0.00021861649085368879
idukki,0.00019868687289033334
umaria,0.00018683712039106688
shahdol,0.000162886111789291
satara,0.00012786407628691114
bagalkote,0.00010154408239015556
hingoli,9.213879590032464e-05
jamnagar,8.922895720776343e-05
yavatmal,8.259406270638966e-05
kodarma,6.71365183237412e-05
kanniyakumari,6.648479336633925e-05
udaipur,6.605824054589224e-05
rajanna sircilla,4.84371979058236e-05
mumbai,4.233367408748389e-05
bishnupur,4.226695641727503e-05
mumbai suburban,4.2216791163977116e-05
chandigarh,4.206985142203869e-05
bhopal,2.0931314354524297e-05
osmanabad,1.2485687043605016e-05
hyderabad,1.1732022904817957e-05
washim,3.107282356174249e-06
