district,flood_count,flood_risk_freq,flood_risk_area,flood_risk
madhubani,67.0,0.29004329004329,0.1586182591767508,0.2243
aurangabad,91.0,0.3939393939393939,0.0542480668651365,0.2241
bhojpur,50.0,0.2164502164502164,0.2280437373630684,0.2222
udalguri,72.0,0.3116883116883117,0.1327449554914547,0.2222
chandauli,25.0,0.1082251082251082,0.3340472253163,0.2211
sitapur,69.0,0.2987012987012987,0.1428874988648947,0.2208
kangra,101.0,0.4372294372294372,0.0032809053985105,0.2203
gopalganj,48.0,0.2077922077922078,0.2314626994859979,0.2196
west kameng,83.0,0.3593073593073593,0.0799291280287482,0.2196
basti,56.0,0.2424242424242424,0.19626000921211,0.2193
patiala,53.0,0.2294372294372294,0.2075217252895551,0.2185
kamrup metro,100.0,0.4329004329004329,0.0,0.2165
farrukhabad,39.0,0.1688311688311688,0.2631067897968872,0.216
jalpaiguri,55.0,0.238095238095238,0.1933702203647859,0.2157
surat,47.0,0.2034632034632034,0.2258398780055208,0.2147
gonda,71.0,0.3073593073593073,0.1214474751867596,0.2144
jalandhar,46.0,0.1991341991341991,0.2295821642876679,0.2144
bara banki,71.0,0.3073593073593073,0.1213074900846037,0.2143
kokrajhar,74.0,0.3203463203463203,0.1065603296308756,0.2135
kullu,96.0,0.4155844155844156,0.009161442422263,0.2124
thanjavur,36.0,0.1558441558441558,0.2651049986670499,0.2105
ernakulam,84.0,0.3636363636363636,0.0533545773486667,0.2085
dima hasao,80.0,0.3463203463203463,0.0701412562981411,0.2082
mandi,89.0,0.3852813852813853,0.0311751181755889,0.2082
banda,34.0,0.1471861471861472,0.2672805735424482,0.2072
kollam,95.0,0.4112554112554112,0.0003040176064003,0.2058
auraiya,29.0,0.1255411255411255,0.2820540586467633,0.2038
purba bardhaman,10.0,0.0432900432900432,0.3617207679174885,0.2025
south twenty four pargan,0.0,0.0,0.403267158891434,0.2016
chennai,58.0,0.2510822510822511,0.1512487125325867,0.2012
karbi anglong,74.0,0.3203463203463203,0.0780315898998992,0.1992
purba champaran,0.0,0.0,0.3974036558286905,0.1987
varanasi,55.0,0.238095238095238,0.1573116483429866,0.1977
kolkata,73.0,0.316017316017316,0.0783431476190383,0.1972
sant kabir nagar,31.0,0.1341991341991342,0.2538301263815088,0.194
