district,flood_count,flood_risk_freq
hardoi,46,0.19913419913419914
unnao,45,0.19480519480519481
madhepura,45,0.19480519480519481
siwan,45,0.19480519480519481
murshidabad,45,0.19480519480519481
jalna,45,0.19480519480519481
gurdaspur,45,0.19480519480519481
koraput,45,0.19480519480519481
vaishali,45,0.19480519480519481
shivamogga,44,0.19047619047619047
bhopal,44,0.19047619047619047
latur,44,0.19047619047619047
dharashiv,44,0.19047619047619047
kishanganj,44,0.19047619047619047
nalanda,44,0.19047619047619047
araria,43,0.18614718614718614
ahmednagar,43,0.18614718614718614
bareilly,43,0.18614718614718614
jodhpur,43,0.18614718614718614
hassan,43,0.18614718614718614
sheohar,42,0.18181818181818182
khammam,42,0.18181818181818182
muzaffarnagar,42,0.18181818181818182
gaya,42,0.18181818181818182
bathinda,42,0.18181818181818182
puri,42,0.18181818181818182
hoshiarpur,41,0.1774891774891775
ajmer,41,0.1774891774891775
poonch,41,0.1774891774891775
ferozepur,41,0.1774891774891775
rupnagar,41,0.1774891774891775
rajkot,41,0.1774891774891775
ghazipurr,40,0.17316017316017315
lahul and spiti,40,0.17316017316017315
gondia,40,0.17316017316017315
gadag,40,0.17316017316017315
kapurthala,40,0.17316017316017315
kanpur nagar nagar,40,0.17316017316017315
west godavari,40,0.17316017316017315
amreli,39,0.16883116883116883
agra,39,0.16883116883116883
bhavnagar,39,0.16883116883116883
udupi,39,0.16883116883116883
hyderabad,39,0.16883116883116883
dakshin dinajpur,39,0.16883116883116883
east godavari,39,0.16883116883116883
farrukhabad,39,0.16883116883116883
malda,39,0.16883116883116883
nawada,38,0.1645021645021645
valsad,38,0.1645021645021645
meerut,38,0.1645021645021645
charaideo,38,0.1645021645021645
shahjahanpur,38,0.1645021645021645
lohit,38,0.1645021645021645
ludhiana,38,0.1645021645021645
krishna,38,0.1645021645021645
alwar,38,0.1645021645021645
nadia,37,0.16017316017316016
udaipur,37,0.16017316017316016
buxar,37,0.16017316017316016
vadodara,37,0.16017316017316016
purba medinipur,37,0.16017316017316016
moradabad,37,0.16017316017316016
chamoli,37,0.16017316017316016
balrampur,37,0.16017316017316016
solapur,37,0.16017316017316016
kendujhar,37,0.16017316017316016
bijapur,36,0.15584415584415584
tumakuru,36,0.15584415584415584
saharanpur,36,0.15584415584415584
beedar,36,0.15584415584415584
sambalpur,36,0.15584415584415584
thanjavur,36,0.15584415584415584
ganjam,36,0.15584415584415584
chikkaballapura,36,0.15584415584415584
gangtok,36,0.15584415584415584
mathura,36,0.15584415584415584
bikaner,36,0.15584415584415584
lakhisarai,36,0.15584415584415584
anantnag,36,0.15584415584415584
surendranagar,35,0.15151515151515152
indore,35,0.15151515151515152
banka,35,0.15151515151515152
kalahandi,35,0.15151515151515152
budaun,35,0.15151515151515152
palghar,35,0.15151515151515152
pilibhit,35,0.15151515151515152
rae bareli,35,0.15151515151515152
west tripura,35,0.15151515151515152
purba purba medinipur,35,0.15151515151515152
mainpuri,34,0.1471861471861472
kaimur bhabua,34,0.1471861471861472
chitradurga,34,0.1471861471861472
etah,34,0.1471861471861472
kurnool,34,0.1471861471861472
guntur,34,0.1471861471861472
banda,34,0.1471861471861472
bulandshahr,33,0.14285714285714285
jehanabad,33,0.14285714285714285
cooch behar,33,0.14285714285714285
doda,33,0.14285714285714285
rohtas,33,0.14285714285714285
firozabad,33,0.14285714285714285
rajouri,33,0.14285714285714285
ambala,33,0.14285714285714285
amethi,33,0.14285714285714285
arwal,33,0.14285714285714285
gir somnath,33,0.14285714285714285
coimbatore,33,0.14285714285714285
kannauj,33,0.14285714285714285
jalaun,33,0.14285714285714285
prakasam,33,0.14285714285714285
sheikhpura,32,0.13852813852813853
sangrur,32,0.13852813852813853
sangli,32,0.13852813852813853
kandhamal,32,0.13852813852813853
jamnagar,32,0.13852813852813853
hingoli,32,0.13852813852813853
siddharthnagar,32,0.13852813852813853
ambedkar nagar,32,0.13852813852813853
kaushambi,32,0.13852813852813853
tawang,32,0.13852813852813853
davangere,32,0.13852813852813853
bhadrak,32,0.13852813852813853
pulwama,32,0.13852813852813853
ghaziabad,32,0.13852813852813853
rampur,32,0.13852813852813853
bargarh,32,0.13852813852813853
chhindwara,31,0.1341991341991342
pali,31,0.1341991341991342
dehradun,31,0.1341991341991342
hooghly,31,0.1341991341991342
faridkot,31,0.1341991341991342
sri potti sriramulu nellore,31,0.1341991341991342
kachchh,31,0.1341991341991342
baramulla,31,0.1341991341991342
sant kabir nagar,31,0.1341991341991342
jamui,31,0.1341991341991342
bijnor,31,0.1341991341991342
jabalpur,31,0.1341991341991342
mayurbhanj,31,0.1341991341991342
kendrapara,31,0.1341991341991342
aligarh,30,0.12987012987012986
sshrawasti,30,0.12987012987012986
bundi,30,0.12987012987012986
howrah,30,0.12987012987012986
sambhal,30,0.12987012987012986
bharatpur,30,0.12987012987012986
jhalawar,30,0.12987012987012986
cuddalore,30,0.12987012987012986
navsari,30,0.12987012987012986
mandya,30,0.12987012987012986
amroha,29,0.12554112554112554
north tripura,29,0.12554112554112554
auraiya,29,0.12554112554112554
khordha,29,0.12554112554112554
karimnagar,29,0.12554112554112554
kathua,29,0.12554112554112554
papum pare,29,0.12554112554112554
gautam buddha nagar,29,0.12554112554112554
tiruchirappalli,29,0.12554112554112554
chitrakoot,29,0.12554112554112554
sonbhadra,29,0.12554112554112554
udhampur,29,0.12554112554112554
mansa,29,0.12554112554112554
sonipat,29,0.12554112554112554
mau,29,0.12554112554112554
kolar,28,0.12121212121212122
dhenkanal,28,0.12121212121212122
baghpat,28,0.12121212121212122
devbhumi dwarka dwarka,28,0.12121212121212122
nizamabad,28,0.12121212121212122
porbandar,28,0.12121212121212122
fatehgarh sahib,28,0.12121212121212122
sabar kantha,28,0.12121212121212122
khargone khargone west nimar,28,0.12121212121212122
birbhum,28,0.12121212121212122
banswara,28,0.12121212121212122
kushinagar,28,0.12121212121212122
moga,28,0.12121212121212122
baran,27,0.11688311688311688
pithoragarh,27,0.11688311688311688
narmadapuram,27,0.11688311688311688
mumbai suburban,27,0.11688311688311688
nagapattinam,27,0.11688311688311688
dangs,27,0.11688311688311688
the nilgiris,27,0.11688311688311688
haveri,27,0.11688311688311688
shamli,27,0.11688311688311688
lalitpur,27,0.11688311688311688
kasganj,27,0.11688311688311688
hathras,26,0.11255411255411256
mahoba,26,0.11255411255411256
mahrajganj,26,0.11255411255411256
tehri garhwal,26,0.11255411255411256
tapi,26,0.11255411255411256
sas nagar,26,0.11255411255411256
ramban,26,0.11255411255411256
nayagarh,26,0.11255411255411256
new new delhi,26,0.11255411255411256
hapur,26,0.11255411255411256
srinagar,26,0.11255411255411256
botad,26,0.11255411255411256
kheda,26,0.11255411255411256
visakhapatnam,26,0.11255411255411256
raipur,26,0.11255411255411256
adilabad,25,0.10822510822510822
vidisha,25,0.10822510822510822
yamunanagar,25,0.10822510822510822
jajapur,25,0.10822510822510822
ujjain,25,0.10822510822510822
balaghat,25,0.10822510822510822
tonk,25,0.10822510822510822
narmada,25,0.10822510822510822
tiruvannamalai,25,0.10822510822510822
paschim purba medinipur,25,0.10822510822510822
morbi,25,0.10822510822510822
dhule,25,0.10822510822510822
dibang valley,25,0.10822510822510822
jhansi,25,0.10822510822510822
jind,25,0.10822510822510822
kurung kumey,25,0.10822510822510822
koppal,25,0.10822510822510822
panch mahals,25,0.10822510822510822
panchkula,25,0.10822510822510822
sawai madhopur,25,0.10822510822510822
chandauli,25,0.10822510822510822
bhilwara,25,0.10822510822510822
sagar,25,0.10822510822510822
south tripura,25,0.10822510822510822
uttar kashi kashi,25,0.10822510822510822
anugul,25,0.10822510822510822
viluppuram,25,0.10822510822510822
kishtwar,24,0.1038961038961039
upper lower subansiri,24,0.1038961038961039
karnal,24,0.1038961038961039
tarn taran,24,0.1038961038961039
sri sri muktsar sahib sahib,24,0.1038961038961039
barmer,24,0.1038961038961039
pathankot,24,0.1038961038961039
west karbi anglong,24,0.1038961038961039
west siang,24,0.1038961038961039
reasi,24,0.1038961038961039
fazilka,24,0.1038961038961039
ganganagar,24,0.1038961038961039
garhwal,24,0.1038961038961039
dholpur,24,0.1038961038961039
banas kantha,23,0.09956709956709957
sirohi,23,0.09956709956709957
kanniyakumariumari,23,0.09956709956709957
upper siang,23,0.09956709956709957
malkangiri,23,0.09956709956709957
barnala,23,0.09956709956709957
east kameng,23,0.09956709956709957
yadgir,23,0.09956709956709957
ganderbal,23,0.09956709956709957
gajapati,23,0.09956709956709957
sehore,23,0.09956709956709957
east siang,23,0.09956709956709957
dhalai,23,0.09956709956709957
bhadohi,23,0.09956709956709957
kupwara,23,0.09956709956709957
sundargarh,23,0.09956709956709957
betul,23,0.09956709956709957
changlang,23,0.09956709956709957
lower dibang valley,23,0.09956709956709957
budgam,23,0.09956709956709957
mahabubnagar,22,0.09523809523809523
shahid bhagat singh nagar,22,0.09523809523809523
srikakulam,22,0.09523809523809523
kra daadi,22,0.09523809523809523
ysr,22,0.09523809523809523
thiruvarur,22,0.09523809523809523
jagatsinghapur,22,0.09523809523809523
sirsa,22,0.09523809523809523
boudh,22,0.09523809523809523
chikkamagaluru,22,0.09523809523809523
seoni,22,0.09523809523809523
nandurbar,22,0.09523809523809523
dhar,22,0.09523809523809523
anjaw,21,0.09090909090909091
rayagada,21,0.09090909090909091
rohtak,21,0.09090909090909091
gwalior,21,0.09090909090909091
kurukshetra,21,0.09090909090909091
sikar,21,0.09090909090909091
madurai,21,0.09090909090909091
hisar,21,0.09090909090909091
lower lower subansiri,21,0.09090909090909091
unakoti,21,0.09090909090909091
bankura,21,0.09090909090909091
rewa,21,0.09090909090909091
mahesana,21,0.09090909090909091
jharsuguda,21,0.09090909090909091
longding,20,0.08658008658008658
khowai,20,0.08658008658008658
thiruvallur,20,0.08658008658008658
thoothukkudi,20,0.08658008658008658
tirunelveli,20,0.08658008658008658
bagalkotee,20,0.08658008658008658
nalgonda,20,0.08658008658008658
nagaur,20,0.08658008658008658
churu,20,0.08658008658008658
gandhinagar,20,0.08658008658008658
ranchi,20,0.08658008658008658
purba purba bardhaman,20,0.08658008658008658
rajgarh,20,0.08658008658008658
balangir,20,0.08658008658008658
itanagar,20,0.08658008658008658
bhiwani,20,0.08658008658008658
subarnapur,20,0.08658008658008658
siang,20,0.08658008658008658
jalore,20,0.08658008658008658
patan,20,0.08658008658008658
purulia,20,0.08658008658008658
deogarh,20,0.08658008658008658
almora,20,0.08658008658008658
panipat,20,0.08658008658008658
rudra prayag,19,0.08225108225108226
mancachar,19,0.08225108225108226
tirap,19,0.08225108225108226
aizawl,19,0.08225108225108226
faridabad,19,0.08225108225108226
east,19,0.08225108225108226
damoh,19,0.08225108225108226
gomati,19,0.08225108225108226
gyalshing,19,0.08225108225108226
dindigul,19,0.08225108225108226
nuapada,19,0.08225108225108226
burhanpur,19,0.08225108225108226
jaisalmer,19,0.08225108225108226
chandigarh,19,0.08225108225108226
mandsaur,19,0.08225108225108226
guna,19,0.08225108225108226
chittoor,19,0.08225108225108226
medak,19,0.08225108225108226
mangan,19,0.08225108225108226
north,19,0.08225108225108226
sepahijala,19,0.08225108225108226
west garo hills,18,0.07792207792207792
morena,18,0.07792207792207792
bandipora,18,0.07792207792207792
krishnagiri,18,0.07792207792207792
south goa,18,0.07792207792207792
vellore,18,0.07792207792207792
kamle,18,0.07792207792207792
raisen,18,0.07792207792207792
pudukkottai,18,0.07792207792207792
nainital,18,0.07792207792207792
namchi,18,0.07792207792207792
namsai,18,0.07792207792207792
north goa,18,0.07792207792207792
chhatarpur,17,0.0735930735930736
shopian,17,0.0735930735930736
lower siang,17,0.0735930735930736
kulgam,17,0.0735930735930736
maldah,17,0.0735930735930736
erode,17,0.0735930735930736
vizianagaram,17,0.0735930735930736
shi yomi,17,0.0735930735930736
samba,17,0.0735930735930736
north west,16,0.06926406926406926
north east,16,0.06926406926406926
dewas,16,0.06926406926406926
west,16,0.06926406926406926
anand,16,0.06926406926406926
central,16,0.06926406926406926
barwani,16,0.06926406926406926
bhind,16,0.06926406926406926
south west,16,0.06926406926406926
ananthapuramuamu,16,0.06926406926406926
east khasi hills,16,0.06926406926406926
salem,16,0.06926406926406926
gurugram,16,0.06926406926406926
