State,District,Year,composite_yield_kg_ha,rolling_mean_yield,yield_ratio,flooded_area_pct,damage_label,damage_label_name
West Bengal,Cooch Behar,2017,2375.318,2160.1088000000004,1.0996288705457797,0,0,Healthy
West Bengal,Darjeeling,2016,1179.1399999999999,1232.8004,0.9564727590938483,0,0,Healthy
West Bengal,Darjeeling,2017,1541.8,1198.0036,1.2869744297930323,0,0,Healthy
West Bengal,Hooghly,2016,1570.466,1425.1488000000002,1.101966335024104,0,0,Healthy
West Bengal,Hooghly,2017,1631.7620000000002,1446.2148000000002,1.1282985072480243,0,0,Healthy
West Bengal,Howrah,2016,1195.4699999999998,1150.4664,1.0391177004387089,0,0,Healthy
West Bengal,Howrah,2017,1540.014,1212.0312,1.2706059051945198,0,0,Healthy
West Bengal,Jalpaiguri,2016,1512.516,1497.4815999999998,1.0100397894705353,0,0,Healthy
West Bengal,Jalpaiguri,2017,2175.464,1514.6032,1.4363260291540385,0,0,Healthy
West Bengal,Malda,2016,2276.942,1692.1612,1.3455822057614841,0,0,Healthy
West Bengal,Malda,2017,2790.296,1820.3847999999998,1.532805591433196,0,0,Healthy
West Bengal,Midnapur,2016,1464.472,1485.8192000000001,0.9856327068596232,0,0,Healthy
West Bengal,Midnapur,2017,1744.7599999999998,1492.4263999999998,1.169076076381388,0,0,Healthy
West Bengal,Murshidabad,2016,2162.196,2044.4095999999997,1.057613894984645,0,0,Healthy
West Bengal,Murshidabad,2017,2068.5,2067.2208,1.0006188018232014,0,0,Healthy
West Bengal,Nadia,2016,1809.6380000000001,1769.1272000000001,1.0228987491685166,0,0,Healthy
West Bengal,Nadia,2017,1431.256,1785.4876,0.8016051189602214,0,3,Partial
West Bengal,Purulia,2016,1494.1299999999999,1390.346,1.0746461672130534,0,0,Healthy
West Bengal,Purulia,2017,1468.508,1411.1556,1.0406421517230275,0,0,Healthy
West Bengal,West Dinajpur,2016,2232.304,2159.5372,1.0336955529175418,0,0,Healthy
West Bengal,West Dinajpur,2017,2753.184,2173.6344,1.2666269911812218,0,0,Healthy
